name,description,email,admin,logins_per_week,users,posts,connections,dmarc_policy
abdl.link,A community-led microblogging platform for ABDLs 🍼,support@abdl.link,support,599,16356,279906,10291,Enforced (p=reject)
bitcoinhackers.org,,nil@nil.null.nope,noone,599,13203,858751,23756,Missing
aethy.com,An open place for people to be creative and be part of a community that's free from harassment and hate speech!,mail@aethy.com,staff,595,1869,40563,5518,Missing
equestria.social,"An instance for all pony fans, and opened to everyone !",contact@equestria.social,C_Chell,588,2225,120144,20797,Missing
queer.party,Queer Party is a queer-oriented Mastodon instance which generally aligns itself with the policies and goals of a few other instances.,mastodon-queeries@maff.im,maffsie,587,6087,791784,26255,Missing
best-friends.chat, 友人と、くだらない話をしよう。Best Friends はあなたにとって最も居心地がいい場所でありたいと願って作られた Mastodon サーバーです。,info@best-friends.chat,best_friends,562,2522,11335023,14197,Enforced (p=quarantine)
typo.social,,admin@typo.social,admin,555,1201,16019,9483,Missing
mastodon.ml,,doctor@equivalent.me,drq,545,1710,543295,29723,Monitoring only (p=none)
mapstodon.space,,jeremy@mapper.fr,jeremy,541,1460,17000,14085,Missing
mas.town,"Mas.town is a new U.S. based server focused on diverse, robust, and responsible conversation from all viewpoints. All are welcome!",brett@mas.town,brett,532,1365,6950,7896,Monitoring only (p=none)
bonn.social,"Bonn.social ist eine Mastodon-Instanz für Bonn und alle, die Bonn lieben. Thema kann Bonn sein, muss es aber nicht.",email@bonn.digital,bonndigital,529,1174,140783,19443,Missing
expressional.social,"🇩🇰 Mastodon server hosted in Copenhagen, Denmark. 

All languages are welcome, but the vast majority of members are Danish or from Scandinavia. ",mastodon@jippi.dev,jippi,527,925,19789,7404,Monitoring only (p=none)
tilde.zone,"an instance for the tildeverse
(tilde.team, tilde.town, etc, and anyone else)
formerly social.tilde.team ",mastodon@tilde.zone,ben,525,1717,148823,23096,Enforced (p=reject)
macaw.social,,mastodon@macaw.social,streamofron,514,1005,21903,12846,Missing
photog.social,A place for your photos and banter. Photog first is our motto,admin@photog.social,ambassador,513,3299,173882,24317,Missing
shakedown.social,,clifff@shakedown.social,clifff,513,1248,32945,8442,Enforced (p=quarantine)
neuromatch.social,,admin@neuromatch.social,admin,508,792,7472,7629,Missing
mast.dragon-fly.club,"这里是属于每个人一座与众不同的岛屿，然而每座岛屿间却又紧密相连。
来建设专属于你的岛屿吧！在这里找到一个不一样的自己。无论世界多么纷纷扰扰，在这里，总会有你所向往的一片宁静……",contact@dragon-fly.club,NotreMonde,505,1924,98285,9201,Enforced (p=quarantine)
dragon-fly.club,,contact@dragon-fly.club,NotreMonde,505,1924,98287,9201,Enforced (p=quarantine)
social.coop,A co-op corner of the fediverse and probably the most user-friendly social platform around,admin@social.coop,SocialCoop,504,1764,379060,27876,Missing
cryptodon.lol,,postmaster@cryptodon.lol,phil,497,2634,13240,11241,Missing
gruene.social,"Für BÜNDNIS 90/DIE GRÜNEN, von Netzbegrünung e. V.",mastodon@netzbegruenung.de,moderation,494,956,76565,18126,Missing
vocalodon.net,"ボーカロイドファンのためのマストドンインスタンスVocalodonです。
Instance for vocaloid users. We are usually talking in Japanese but sometimes in English. ",Twitter (@tmkw1),tomoki,493,5782,4322616,15432,Missing
floss.social,"People who care about, support, or build Free, Libre, and Open Source Software (FLOSS)",admin@floss.social,admin,490,1008,259617,42433,Enforced (p=quarantine)
sciencemastodon.com,,cgseife@nasw.org,cgseife,489,1214,17438,13852,Missing
federated.press,A Mastodon instance for all who pursue the journalistic ethic.,admin@federated.press,wood,484,1945,17306,10199,Monitoring only (p=none)
tabletop.social,"We host the tabletop community: casual gamers, hobbists, LARPers, game designers & publishers, artists, writer, vlogers, podcasters, reviewers, etc.",host@tabletop.social,host,478,3148,121394,20583,Missing
mastodon.coffee,,barista@mastodon.coffee,stux,477,1415,131388,38650,Monitoring only (p=none)
openbiblio.social,,ralf.stockmann@sbb.spk-berlin.de,admin,476,962,62785,18229,Missing
vkl.world,Cуполка беларусаў у Mastodon,vkl.on.mastodon@gmail.com,king,472,1011,14013,4817,Enforced (p=reject)
ludosphere.fr,Ludosphere.fr est une instance Mastodon destinée aux joueurs francophones de tous horizons.,nasher-mastodon@outlook.fr,Nasher,468,808,43545,14066,Missing
mastodon.gal,,admin@mastodon.gal,nekerafa,466,1167,39448,10172,Enforced (p=quarantine)
arthaus.social,,andrei@botfrens.com,andrei,456,533,100271,6407,Missing
mastodon.arthaus.social,,andrei@botfrens.com,andrei,456,533,100253,6406,Missing
oslo.town,"A social network for the people of Oslo, Norway. ",oslo.town@outlook.com,themayor,451,2144,26049,20356,Missing
dizl.de,dizl.de ist eine kleine Mastodon-Instanz. Wir bieten einen kleinen Gemeinschaftsraum.,info@dizl.de,hausmeister,443,2203,40769,16123,Enforced (p=reject)
social.sciences.re,"Serveur destiné aux communautés liées à l'enseignement et à la recherche, francophones, et sans coloration thématique",contact@sciences.re,contact,441,950,28121,11922,Missing
romancelandia.club,,admin@mail.romancelandia.club,mom,439,1764,78904,14805,Missing
todon.nl,"Todon.nl is a radical leftist anti-authoritarian Mastodon server. We welcome anarchists, socialists, activists, the LGBTQIA+ community, etc.",todon@posteo.eu,admin,437,3277,1221216,24126,Enforced (p=reject)
mastodon-japan.net,,support@mastodon-japan.net,kuroringo,435,888,286464,6310,Missing
nofan.xyz,,0#0,test,432,1191,435977,8538,Missing
pnw.zone,,curtis@pnw.zone,CurtisLBray,420,661,1302,6517,Monitoring only (p=none)
types.pl,,hazel@knightsofthelambdacalcul.us,systemf,417,808,132672,16694,Monitoring only (p=none)
graz.social,Diese Instanz hat einen Fokus auf den Grazer Raum und Österreich.,graz.social@posteo.at,wir,416,1444,47842,14309,Missing
eupolicy.social,A Mastodon instance for the EU policy bubble,eupolicy.social@protonmail.com,admin,416,1183,33435,12158,Monitoring only (p=none)
scicomm.xyz,A scientific community for science communication,davewilliamson+scicomm@protonmail.com,quokka,415,1275,61669,21228,Missing
toot.cat,,tootcat-admins@woozalia.com,woozle,413,2365,309082,34311,Enforced (p=reject)
mastorol.es,Una instancia para la comunidad hispana de juegos de rol y juegos de mesa.,demiurgo@mastorol.es,Demiurgo,413,1445,20762,6344,Monitoring only (p=none)
data-folks.masto.host,,dave665+data-folks@gmail.com,jayatid,410,2151,20524,12467,Enforced (p=quarantine)
freeradical.zone,"Open discussion but skewed toward the topics of technology, information security, privacy, and their political implications.",tek@freeradical.zone,tek,404,2774,448020,19590,Missing
social.treehouse.systems,A community of tech workers trying to survive in these trying times of uncertainty.,ariadne@dereferenced.org,ariadne,404,765,54488,16705,Missing
social.prepedia.org,,support@prepedia.org,admin,402,413,194001,2632,Enforced (p=reject)
mastodon.energy,,inquiry@mastodon.energy,admin,401,1005,19836,9301,Missing
artisan.chat,,artisanchat@masto.host,Curator,400,1237,50581,15062,Missing
layer8.space,"Welcome to the 8th Layer of Madness. Every human is welcome. Topics are mostly Linux, Anime, Music, Software, ...",sammy8806@layer8.space,Sammy8806,399,2189,136555,41084,Missing
social.lol,,adam@omg.lol,adam,395,688,47417,13283,Enforced (p=reject)
sociale.network,Sociale.network - Social Network Libertario Ecopacifista,staff@sociale.network,gubi,393,4099,171959,18209,Monitoring only (p=none)
witter.cz,"Witter.cz je otevřený každému kdo chce s respektem k ostatním sdílet, informovat a diskutovat. Bez reklam, sbírání osobních informací a sledování.",nolog-it@riseup.net,nolog,393,984,9913,8492,Enforced (p=quarantine)
xarxa.cloud,"Otro nodo más de Mastodon con el objetivo de agrupar colectivos sociales.

No guardamos tus datos. No guardamos logs.",mastodon@xarxa.cloud,admin,390,3002,64400,15740,Missing
computerfairi.es,"Computer Fairies is a Mastodon instance that aims to be as queer, friendly and furry as possible. We welcome all kinds of computer fairies!",faye@computerfairi.es,admin,388,1421,412026,21172,Missing
guitar.rodeo,,jesse@moire.vision,jesse,388,808,1045,4827,Missing
jorts.horse,"Welcome to the JORTS HORSE GANG. This instance is a haven for shitposting leftists, run by a team of queer women.",jorts@horse.jorts,killeveryhetero,384,980,681413,21124,Missing
mastodo.fi,"Vapaampi suomalaisten oma Mastodon-palvelin, myös muut kielet sallittu. Ylläpito pyrkii röyhkeästi ylimitoittamaan palvelinkapasiteetin.",admin@mastodo.fi,tero_ojala,380,783,17955,8886,Missing
est.social,🇪🇪Eesti kogukonna kohtumispaik Mastodonis / Estonian community in Mastodon,henv@hot.ee,henri,370,994,9778,6139,Missing
mastodon.com.py,"Primer servidor federado de Mastodon en Paraguay, en español y guaraní, para latinoamerica y el mundo castellano!",admin@mastodon.com.py,admin,368,3294,7201,8195,Enforced (p=reject)
neurodifferent.me,,neurodifferent.me@gmail.com,squish,367,811,68414,12150,Missing
linuxrocks.online,Linux and Tech related conversations,support@linuxrocks.online,omnipotens,365,4105,184915,26584,Missing
halifaxsocial.ca,"Halifax, NS based server for Haligonians; past, present and who wish they were.",admin@halifaxsocial.ca,petersmithca,364,989,41035,10317,Monitoring only (p=none)
poweredbygay.social,"Server for those LGBTQIA+ (and Allies) that are into fun adventurous things, like playing/watching sports watching, hiking, camping, etc!",admin@poweredbygay.social,aggiepm,362,1105,4789,6429,Missing
zeroes.ca,,help@zeroes.ca,trendless,362,1050,74294,14890,Enforced (p=reject)
qubit-social.xyz,,info@anyonsys.com,alireza,359,940,4286,7807,Missing
girlcock.club,An instance primarily focused on providing a safe(r) space for Trans Women.,Elizabeth@girlcock.club,Elizabeth,355,1306,353577,36920,Missing
cybre.space,A cyberpunk/glitchpunk/retro-futurist instance with a small but active community. Writers/Artists/Programmers welcome!,admin@cybre.space,chr,345,2845,3293400,34930,Enforced (p=quarantine)
literatur.social,An instance to open the colourful world of the fediverse for authors and book lovers.,lektorat@jinxx.net,lektorat,345,727,137804,17258,Missing
toot.funami.tech,General purpose Mastodon instance primarily for Koreans,yui@funami.tech,notice,344,4333,24171,6635,Enforced (p=quarantine)
douchi.space,,admin@em3692.douchi.space,mtfront,344,1465,339871,10733,Missing
post.lurk.org,,lurk@bleu255.com,lurk,341,697,76963,15647,Missing
masto.bike,,bike@masto.bike,admin,341,606,38440,9205,Missing
liker.social,,support@liker.social,executive,339,2962,344874,12500,Missing
arsenalfc.social,,admin@arsenalfc.social,admin,339,840,10016,6083,Missing
vulpine.club,foxes and fox-like creatures,admins@vulpine.club,vulpineclub,335,1329,953169,23863,Missing
bolha.us,Mastodon Instance of bolha.io tech community,mastodon@gutocarvalho.net,gutocarvalho,335,1095,32851,11877,Invalid
merveilles.town,,hello@merveilles.town,maru,335,614,399367,22846,Missing
mastodon.la,"Mastodon-la es una instancia generalista ligeramente moderada. 
Bienvenidos todos los temas con buena onda, respeto y sin desnudos innecesarios",admin@mastodon.la,admin,334,2241,371451,15836,Missing
darmstadt.social,Willkommen in der digitalen Darmstädter Nachbarschaft aus dem Rhein-Main-Gebiet - komm doch mal auf einen Kaffee vorbei!,info@darmstadt.social,w4tsn,332,916,23434,14638,Enforced (p=quarantine)
bbq.snoot.com,,bbq@snoot.com,keith,332,1152,41032,14283,Missing
twiukraine.com,,info@twiukraine.com,twiukraine,332,1479,26305,6106,Monitoring only (p=none)
outdoors.lgbt,,lilith@fedihost.io,lily,332,594,2512,8491,Missing
emacs.ch,"Just another friendly Mastodon instance, operated by FOSS enthusiasts and Emacs users. Everyone welcome, even Vim users!",louis@emacs.ch,louis,330,628,13853,10109,Missing
mstdn.games,,MstdnGamesMods@gmail.com,britt,327,478,25138,13069,Missing
toot.lv,Serveris latviski runājošiem.,admin@toot.lv,lastguru,316,745,19185,10079,Enforced (p=quarantine)
freeatlantis.com,,admin@freeatlantis.com,admin,314,3598,1610372,11284,Missing
sunny.garden,,groundskeeper@sunny.garden,brook,314,1059,44164,12499,Enforced (p=reject)
better.boston,"A Mastodon server for Greater Boston/Massachusetts/New England folks interested in a more inclusive, sustainable, and equitable region.",admin@better.boston,meptrsn,313,631,30956,10523,Missing
mona.do,,master@mona.do,admin,313,1334,348750,8186,Missing
oldbytes.space,Do you like old hardware ? Do you use them ? Perfect you're welcome here !,dashie@sigpipe.me,dashie,312,673,138751,20258,Missing
mstdn.maud.io,The place to express your ❤️ more freely. / あなたの「すき」をもっと自由に書き表すための場所。,admin@maud.io,hota,311,2063,5854681,16247,Missing
glammr.us,,admin@glammr.us,joshuatj,306,833,75942,19249,Missing
wetdry.world,,essem@essem.space,esm,306,830,52219,12709,Monitoring only (p=none)
pkm.social,,nicole@nicolevanderhoeven.com,nicole,304,832,9169,11846,Missing
mastodon.arch-linux.cz,Malá instance českých a slovenských uživatelů Arch Linux. ,archos@arch-linux.cz,archos,303,2241,16424,12108,Enforced (p=reject)
masto.nyc,NYC-Regional Mastodon Instance,mastonyc@gmail.com,seano,302,821,1764,7972,Monitoring only (p=none)
mastodon.org.uk,A free UK Instance.,sem@tropical.email,xvilo,297,1753,183479,21891,Missing
retro.pizza,"A poly-fandom instance for nerds to talk about nerd culture. No Nazis, no TERFs.",admin@retro.pizza,trixter,294,618,56604,14195,Missing
swiss-talk.net,,administrator@swiss-talk.net,admin,294,715,32269,9579,Missing
furry.engineer,"furry.engineer is an instance focused around techies (engineers, technicians, developers, etc.) within the furry community, and is open to everyone.",network@pawb.social,crashdoom,292,486,32196,10532,Missing
bitbang.social,,actionretro@pm.me,ActionRetro,292,543,22656,11550,Enforced (p=quarantine)
warhammer.social,,admin@warhammer.social,ianob,291,881,21069,10325,Missing
mastodon.cat,,ajuda@mastodon.cat,kastwey,290,1390,6858,5181,Enforced (p=reject)
freak.university,,headmasters@freak.university,headmasters,288,666,145066,7240,Enforced (p=reject)
tyrol.social,"Die Social Media Plattform für Tirol und allen Menschen, die sich in den Alpen wohlfühlen.",support@tyrol.social,adrian,286,1066,14409,8875,Monitoring only (p=none)
kurry.social,Server for Korean Furries,kurry@kurry.social,kurry,282,2408,42534,5129,Missing
worldkey.io,,matt@worldkey.io,matt,282,691,25895,11984,Missing
mastodon.uy,"Nodo uruguayo de la red social libre y decentralizada Mastodon. La misma sigue el estandar abierto OStatus, lo que permite interactuar con otras redes",mastodon@buzon.uy,admin,279,1263,80784,13216,Missing
mastodon.vlaanderen,De Vlaamse/Belgische Mastodon instance,hello@mastodon.vlaanderen,admin,275,1190,6539,7625,Monitoring only (p=none)
mstdn.beer,,mstdn.beer☆gmail.com,estpls,274,756,5236866,37449,Missing
akademienl.social,,akademieNL@pm.me,RHoogstraat,271,518,14401,12493,Missing
jawns.club,A semi-open and 100% friendly community of people who live in and love Philadelphia. ,jawns@indyhall.org,alexhillman,270,898,47267,18950,Missing
vt.social,,cli-luna@protonmail.com,LunaFoxgirlVT,268,852,26299,10633,Missing
nnia.space,,wierstamann@gmail.com,thebot,266,958,266102,7315,Missing
toot.cafe,"General interest plus programming, JavaScript, CSS, web. Purple-themed. 💜",nolan@nolanlawson.com,nolan,265,2904,282515,24558,Missing
xoxo.zone,,annika@sixohthree.com,annika,264,629,87274,20001,Missing
cr8r.gg,"A new community for creators (and those who consume those creations - viewers, etc).",info@cr8r.gg,CR8R,264,497,1770,15625,Monitoring only (p=none)
eightpoint.app,,hereBeSaoirse@iCloud.com,12,264,686,75301,12553,Missing
kirche.social,"Mastodon-Instanz für die Kirche(n) im deutschsprachigen Raum, christlich, interkonfessionell und ökumenisch, betrieben vom LUKi e.V.",mastodon@librechurch.org,librechurch,263,479,66581,16834,Missing
mastodon.in.th,,-,admin,263,2444,199069,12162,Missing
seocommunity.social,,jroakes@gmail.com,jroakes,263,912,12055,10137,Missing
h-net.social,,mastodonadmin@mail.h-net.org,mastodonadmin,259,1057,7506,7814,Monitoring only (p=none)
shelter.moe,"Instance généraliste peuplée d'informaticiens, d'otakus et de geeks en tout genre",axel@haruhi.fr,AxelTerizaki,258,1348,217510,18810,Missing
toot.bike,,ms@mattiasschlenker.de,admin,258,458,34554,10883,Missing
mao.mastodonhub.com,,oohaohaohao,wo,257,14478,1358179,10249,Missing
is.nota.live,gay communist nerds,ida@is.nota.live,ida,256,1455,309984,27294,Monitoring only (p=none)
social.politicaconciencia.org,"Dedicada principalmente a los temas relacionados con la política, la ciencia y la cultura. Es un espacio abierto al diálogo constructivo y respetuoso.",social.politicaconciencia@astrosmx.org,PoliticaConC,255,5257,238173,17998,Missing
m.otter.homes,otter.homes是一个自由、开放、多语言的长毛象实例。在这里你可以和Fediverse中不同背景、爱好的任何人友好地交流，而免于任何政府或大公司的言论审查。我们拥有50000字数上限和最多20个选项的投票。,otter@otter.homes,otter,252,242,1562,1234,Missing
earthstream.social,"The environment, science, human rights, and tech",mprorock@mesur.io,mprorock,250,347,462,4480,Missing
kopiti.am,From Singapore 🇸🇬 for Singaporeans by Singaporeans. But all are welcome!,towkay@kopiti.am,towkay,247,1214,25641,15074,Missing
mstdn.mx,"El primer servidor de Mastodon Mexicano, desde Abr 2017.
Aquí hablamos de tecnología, literatura, ciencia, cultura, música, anime, series, películas, ",admin+contacto@mstdn.mx,maop,246,1201,114096,21697,Missing
mograph.social,"a Mastodon server for the motion design community. VFX artists, 3D artists, animators, designers and illustrators with an interest in moving images",mograph.social@mailbox.org,MographAdmin,246,1118,19327,18490,Missing
famichiki.jp,A server run by foreigners in Japan. Anyone is welcome to sign up.,me@brian.jp,brian,243,434,41041,10010,Monitoring only (p=none)
esperanto.masto.host,Esperanto,philippe.lemaire@pm.me,filipo,242,995,76023,17348,Enforced (p=quarantine)
machteburch.social,"Machteburch.social ist eine Mastodon-Instanz für Magdeburg und alle, die Magdeburg mögen.",kontakt@softwerke.md,admin_toots,241,792,21991,15667,Monitoring only (p=none)
mstdn.id,Mastodon instance not just for fun. Speak only Bahasa Indonesia and English,gajahmada.mstdn.id@gmail.com,gajahmada,240,1238,28327,8303,Missing
mastodon.mim-libre.fr,,contact@eole.education,PCLL,240,715,23949,7754,Missing
chitter.xyz,,ringtail@violet.pm,Violet,239,929,900131,20615,Missing
kanoa.de,"Eine deutschsprachige Mastodon Instanz um neue Leute kennenzulernen und Spaß zu haben. ""ka noa"" ist hawaiisch und bedeutet ""die Freiheit"".",kontakt@kanoa.de,dominion,239,545,11455,14733,Enforced (p=quarantine)
sauropods.win,,john.a.conway@gmail.com,john,238,546,35782,15265,Missing
nederland.online,www.nederland.online - toot en ontmoet! De ontmoetingsplek voor online Nederlanders!,admin@nederland.online,owner,238,356,438,3995,Missing
toot.si,Slovensko Mastodon vozlišče,luka@toot.si,luka,235,724,25267,18021,Missing
kinkyelephant.com,"Building a kinky community for fetish models, photographers, producers, webmasters and fans. In alpha, not yet open to the public. ",webmaster@restrainedelegance.com,RestrainedElegance,235,4066,192050,13457,Missing
oc.todon.fr,Instance Mastodon francophone et avec une modération active. Mostly French-speaking Mastodon instance with active moderation.,progval+octodon@progval.net,val,232,2746,133121,20629,Missing
mastodon.acm.org,,social@acm.org,ACM,232,572,3376,6943,Monitoring only (p=none)
thecanadian.social,"Politics, sports, current events and laughs from Canada and across the fediverse.  ",mike@thecanadian.social,mike,231,631,29811,9598,Missing
toot.portes-imaginaire.org,Toot' Aux Portes de l'Imaginaire,contact@portes-imaginaire.org,portesimaginaire,229,610,22826,10389,Enforced (p=reject)
mastodon.design,,timotheegoguely@pm.me,timotheegoguely,228,591,23286,19856,Missing
rivals.space,"Instance mastodon française généraliste, durable et rapide ! ",admin@rivals.space,emilweth,228,683,86666,13389,Missing
babka.social,An online space for Jews and allies,serge@babka.social,serge,227,501,26374,13007,Missing
podcasts.social,,cvd@podcasts.social,cvd,227,314,6372,12372,Missing
col.social,The Colombian Mastodon,sergio.garcia@gmail.com,admin,226,668,38102,8539,Missing
blorbo.social,"A community of fandom nerds. We talk enthusiastically about our favourite blorbos, create fanart, fanfic, fanvids and other transformative works.",blorbosocial@gmail.com,admin,226,432,20897,7728,Missing
social.kyiv.dcomm.net.ua,,mastodon@equalitie.org,insiderua,223,876,24057,9440,Missing
mastodon.be,Mastodon Belgium,support@mastodon.be,jan,219,1251,3582,6413,Enforced (p=quarantine)
m.ai6yr.org,,ai6yr@ai6yr.org,ai6yr,219,391,46503,8815,Missing
jasette.facil.services,,techadmin@facil.qc.ca,mathieugp,218,674,16168,11984,Enforced (p=reject)
4bear.com,Mastodon Server for the LGBT+ Bear Community,admin@4bear.com,admin,218,364,12496,6746,Missing
veganism.social,Largest active Mastodon server for vegans and animal rights activists. Vegans only.,admin@veganlobby.org,nm,217,552,4035,8515,Missing
hackers.town,A bunch of technomancers in the fediverse. Keep it fairly clean please. This arcology is for all who wash up upon it's digital shore.,thegibson@hackers.town,thegibson,213,328,418377,24826,Missing
liberdon.com,"For libertarians, ancaps, anarchists, voluntaryists, agorists, etc to sound off without fear of reprisal from jack, zuck, et al.",admin@liberdon.com,liberdon,212,2145,349990,22175,Enforced (p=quarantine)
heads.social,,admin@jerrybase.com,InstituteJerry,211,338,16311,7938,Missing
mstdn.dk,,support@mstdn.dk,saustrup,208,416,5453,10751,Enforced (p=reject)
uri.life,,admin@uri.life,admin,206,1250,18094,5150,Missing
cloud-native.social,,saiyam@civo.com,saiyam,206,1857,4102,9730,Missing
social.seattle.wa.us,"An instance for Seattlites. Is that a thing that the fediverse really needed? I dunno, let's find out.",admin@social.seattle.wa.us,finn,205,481,16885,19425,Monitoring only (p=none)
epicure.social,A Mastodon instance focused on food and wine. Mainly English. Hosted in the EU.,mastodon@themorningclaret.com,morningclaret,204,742,15455,8644,Monitoring only (p=none)
ramen-fsm.eu.org,,pomo.fsm@gmail.com,rouwan,201,686,115689,6317,Missing
brettspiel.space,,meeple@brettspiel.space,Meeple,201,290,18676,9267,Missing
ramen-fsm.tk,,pomo.fsm@gmail.com,rouwan,201,686,115695,6318,Missing
mastodon.schule,,kontakt@mastodon.schule,team,200,287,152,1336,Missing
archaeo.social,,admin@archaeo.social,joeroe,197,490,11071,9916,Missing
obo.sh,Without censorship. Any. Period.,noreply@obo.sh,admin,196,706,20730,8538,Missing
podcastindex.social,,info@podcastindex.org,adam,195,1297,90323,15279,Missing
fedi.at,,paulatothepeople@riseup.net,paula,195,393,8826,40205,Monitoring only (p=none)
awoo.space,Awoo.space is a smaller community that believes in diplomatic moderation to help limit harm and encourage growth.,awoo.space@gmail.com,noiob,194,1734,623433,267,Monitoring only (p=none)
xn--lofll-1sat.is,,mpg@mpg.is,matti,194,699,9826,8490,Missing
gearheads.social,,hello@gearheads.social,staff,193,412,4964,5261,Enforced (p=quarantine)
spacey.space,,jami@tmro.tv,PhotonEmpress,191,497,17831,12364,Missing
wargamers.social,Mastodon server for people who are interested in tabletop wargames of the hex and counter variety.,wargamers-social@pm.me,Pete,191,406,8775,6280,Missing
assemblag.es,"assemblag.es is a Mastodon instance for people interested in thinking creatively and critically about technology, in the broadest sense.",tim@timcowlishaw.co.uk,mistertim,190,431,13711,13761,Missing
social.snorklr.com,,admin@snorklr.com,admin,190,481,28040,8775,Missing
trpg.cloud,,painterpuppets@gmail.com,painterpuppets,189,972,132903,3800,Missing
h5q.net,,support@h5q.net,h5q,189,743,16627,5220,Missing
functional.cafe,,marco@functional.cafe,mdallastella,188,549,154701,19468,Missing
pawb.fun,We're friendly towards members of the LGBTQ+ community and aiming to offer a safe space for our users.,network@pawb.social,crashdoom,188,366,12036,7997,Missing
imastodon.net,"アイマストドンはアイマスに興味がある皆さんのための非公式インスタンスです。
im@stodon is unofficial mastodon instance for fans of THE IDOLM@STER.",fusagiko@imastodon.net,fusagiko,186,5406,14187559,10600,Missing
thicc.horse,"A safe and adult place for queer folks, furries, kinksters, and the questioning!",hashooves@gmail.com,iama,184,613,27741,14540,Missing
blacktwitter.io,,blacktwitter-admin@mail.blacktwitter.io,admin,184,1354,30682,12548,Missing
dotnet.social,,mastodon@dotnet.social,styx31,183,531,7112,9131,Missing
cztwitter.cz,Osada Tootřanů :-),oli.kockovax@gmail.com,OliKockova,179,590,14292,6873,Missing
legal.social,,info@legal.social,malteengeler,179,351,21309,13065,Missing
plural.cafe,Plural Café is a community for plural systems and plural-friendly singlets alike.,admin@plural.cafe,Barkeep,177,1363,215556,17602,Missing
lounge.town,,art@rosnovsky.us,rosnovsky,177,261,1987,7203,Missing
toot.kif.rocks,"Gemeinschaft der KIFfel und Informatikstudierenden (Informatik, Studium, Hochschulpolitik), offen für alle Wesen.",ev@kif.rocks,team,176,691,63978,16661,Missing
digipres.club,,admin@digipres.club,misty,176,503,34066,16883,Missing
nojack.easydns.ca,,mastodon@easydns.com,stuntpope,176,5737,13188,11466,Missing
toot.berlin,Mastodon for Berliners,howdy@toot.berlin,team,175,857,34429,17663,Enforced (p=quarantine)
colorid.es,Uma instância com foco em pessoas queer/LGBTQIAPN+ que falam português. | An instance that focuses on queer/LGBTQIAPN+ people who speak Portuguese.,orientando.org@gmail.com,QueerNeko,173,2314,121534,12316,Monitoring only (p=none)
homeless.group,,itabas016@gmail.com,itabas016,173,84,156,266,Missing
drumstodon.net,"Server intended primarily for drummers of all kinds and ages, but all other musicians and music lovers are welcome here!",kernelerror@posli.to,DrumHead,173,271,929,6706,Missing
toolboxtalk.tech,,thestairhead@gmail.com,glenmo,173,457,106,1158,Missing
ponies.social,,patrick@bartolovic-computer.de,admin,172,209,7968,577,Missing
ika.queloud.net,,hari_sabo_bouzu@hotmail.com,admin,171,2382,1401629,7434,Missing
mental.social,,admin@wuvu.net,admin,171,1450,1169281,7660,Missing
mastodon.lawprofs.org,A mastodon instance for legal academics.,jeremysheff+lawprofs@gmail.com,jnsheff,170,389,9511,12257,Missing
pullopen.xyz,,admin@pullopen.xyz,0,170,336,310831,9531,Missing
activism.openworlds.info,"Its an unfettered space for Activists. Founded on #4opens, motivated by the #PGA hallmarks and moderated by an ethical code of conduct. ",witchescauldron@openworlds.info,witchescauldron,169,418,68642,21641,Missing
mastodon.education,The place to be for al who works in and with education,compie67@gmail.com,redegelde,169,461,11606,8605,Missing
federate.social,"Cultivating a new network of networks, the FEDERATE.SOCIAL community seeks to remake new social media alternatives and return to the internet's defaul",david@newschool.edu,profcarroll,168,495,22331,15262,Missing
mastodonmusic.social,Mastodon for Musicians,steve@mastodonmusic.social,steve,168,350,8841,8979,Missing
pdx.social,"pdx.social is an invite-only instance for people who live in the Portland, Oregon area.",admin@pdx.social,foozmeat,167,376,46074,19639,Missing
plush.city,A gathering space for soft friends and allies to share their lives & compassion with each other & the Fediverse! Come see the softer side of Masto. ♥️,solei@corticalstack.net,mawr,167,411,500461,22052,Missing
fnordon.de,"Small generalistic instance, going with the FNORD.",dentaku@wazong.de,dentaku,167,227,39679,16232,Missing
metalverse.social,"metalverse.social is a Mastodon instance hosted in Germany from Metalheads for everybody. 
-Where the Metal connects-",admin@metalverse.social,hotte,165,602,1884,6053,Missing
im-in.space,A generalist Mastodon instance with a nice domain name. Running on Glitch Social's fork with a custom theme!,kdy@im-in.space,kdy,164,961,78749,17938,Missing
ani.work,"This is Aniwork Network, which aims to discuss animation. We welcome animations from all over the world.",notification@ani.work,admin,164,1462,55828,9306,Missing
social.bau-ha.us,"Run by your friendly neighbourhood hackspace from Weimar/Germany. Some tech, some art, some Chaos, some random everything. :)",social.bauhaus@m18.uni-weimar.de,maschinenraum,162,735,91057,20368,Missing
front-end.social,,admin@front-end.social,mods,162,220,20856,14451,Missing
iosdev.space,,contact@cctplus.dev,heyjaywilson,162,360,6839,10255,Missing
mastoxiv.page,,so.okada@gmail.com,vela,162,158,70,2,Missing
corteximplant.com,"CORTEX IMPLANT - a cyberpunk'ish LGBTQIA+ friendly Fediverse instance for edgerunners, netrunners and cyberpunks and all who want to become one.",help@corteximplant.com,lucy,161,270,20709,39729,Missing
toot.blue,「蒼き象のインスタンス」と呼んでいます。AWS上で運用中。テーマは特に設けていません。自由に登録してマストドンを使ってみてください。,admin@toot.blue,hyoyoshikawa,160,284,82316,14852,Missing
ura-mstdn.com,,mstdn@ura-mstdn.com,admin,160,4575,36826,1022,Missing
